judul,translated_text
"Hilirisasi Disebut Ugal-ugalan, Eks Mendag: Emang yang Mau Jaga Lingkungan Dia Aja?","downstream called indecisiveness, ex-mendag: who wants to take care of the environment?"
PNS di Rohul Jadi Tersangka usai Jadikan Kebun Sawit Tambang Pasir-Batu Ilegal,civil servants in rohul become suspects after turning palm oil plantations into illegal sand-rock mining
Luhut Vs Cak Imin Buntut Pernyataan Hilirisasi Ugal-ugalan,luhut vs. cak imin resulting in reckless downstreaming statements
"Polisi Sita 2,6 Ton Pasir Timah Ilegal dari Tiga Pelaku di Bangka",police confiscate 2.6 tons of illegal tin sand from three perpetrators in bangka
"Cak Imin Sebut Hilirisasi Ugal-ugalan, Luhut Ajak Berkunjung ke Morowali","cak imin calls the downstreaming reckless, luhut invites him to visit morowali"
Luhut ke Cak Imin yang Tuding Hilirisasi Ugal-ugalan: Jangan Bohong,kneel to cak imin who points to the hesitation of hesitancy: don't lie
"KSAD Minta Aparat Beking Tambang Dilaporkan, Mahfud Singgung Pidato Ketua KPK","ksad asks mining backing apparatus to report, mahfud alludes to kpk chairman's speech"
Waka Komisi VII DPR Dukung Gibran Cabut Izin Tambang Pengusaha Nakal,deputy head of commission vii dpr supports gibran to revoke mining permits for rogue entrepreneurs
"Soroti Gaya Gibran Saat Debat, TB Hassanudin: Ilmunya Belum Sampai","highlighting gibran's style during the debate, tb hassanudin: his knowledge is not yet there"
"Mahfud Sebut RI Marak Tambang Ilegal dan Dibeking Aparat-Pejabat, Ini Datanya","mahfud says ri illegal mining is rampant and backed by officials, here's the data"
Cak Imin Kritik Hilirisasi Sektor Tambang: Ugal-ugalan!,cak imin criticizes downstreaming of the mining sector: reckless!
Cak Imin Singgung Data 2.500 Tambang Ilegal: Hilirisasi Ugal-ugalan!,"cak imin touches on data on 2,500 illegal mines: reckless downstreaming!"
Tujuh Prioritas Isu Lingkungan untuk Debat Pilpres,seven priority environmental issues for the presidential election debate
"Viral Lansia Disabilitas di Bulukumba Ditahan, Kejari Sebut Penambang Ilegal","viral disabled elderly in bulukumba detained, prosecutor calls illegal miner"
5 Penambang Emas Ilegal Asal Jawa Tengah Dibekuk di Merangin,5 illegal gold miners from central java arrested in merangin
73% Kawasan Hutan Hilang Sebabkan Bencana Banjir Besar di Jambi,73% of forest area lost causes major flood disaster in jambi
"Polda Jambi Gerebek Tambang Minyak Ilegal, 3 Orang Ditangkap","jambi regional police raid illegal oil mines, 3 people arrested"
Pemerintah Bakal Sanksi Perusahaan Tambang yang Belum Setoran ke Negara!,government will sanction mining companies that have not made deposits to the state!
"Tertimpa Batu, Penambang Timah di Bangka Tewas di Dasar Sungai","hit by a rock, tin miner in bangka dies at the bottom of the river"
"Polda Jambi Gerebek Sumur Minyak Ilegal di Batanghari, 4 Orang Diamankan","jambi regional police raid illegal oil well in batanghari, 4 people arrested"
Penambang Timah di Bangka Tewas di Dasar Sungai gegara Tertimpa Batu,tin miner in bangka dies at the bottom of the river after being hit by a rock
"Dicari! 8 Buronan Kejati Jambi, Ini Tampang dan Ciri-cirinya","searching for! 8 fugitives from the jambi prosecutor's office, here's their appearance and characteristics"
"Polisi Amankan 1 Kontainer Sianida di Halsel, Syahbandar-Ekspedisi Diperiksa","police secure 1 cyanide container in south halsel, syahbandar-expedition examined"
"Permintaan Batu Bara Naik, Sumsel Optimistis Produksi Capai 100 Juta Ton","coal demand increases, south sumatra is optimistic that production will reach 100 million tons"
MAKI Lapor Dugaan Dana Kampanye dari Tambang Ilegal ke KPK,maki reported alleged campaign funds from illegal mines to kpk
"Tangkap Penambang Emas Ilegal, Gakkum KLHK Ajak Warga Jaga TN Lore Lindu","arresting illegal gold miners, gakkum klhk invites residents to guard lore lindu np"
3 Penambang Emas Ilegal di Taman Nasional Lore Lindu Sigi Ditangkap KLHK,3 illegal gold miners in lore lindu sigi national park arrested by klhk
PN Kendari Tolak Gugatan Pra Peradilan Kasus Iliegal Mining di Kolaka,kendari district court rejects pre-trial lawsuit for illegal mining case in kolaka
"Marak Aktivitas Pertambangan Tanpa Izin, Pengamat: PETI Adalah Kejahatan","unlicensed mining activities rise, observer: peti is a crime"
"Aktivitas Tambang di Sampang Gunungkidul Bikin Resah, Jaksa Turun Tangan","mining activity in sampang gunungkidul makes concern, prosecutor gives up"
Polres Bangka Razia Tambang Timah Ilegal di Kawasan Sumber Air PDAM,bangka police raid illegal tin mining in pdam water source area
Ciri-ciri Pria Misterius yang Siram Air Keras ke Wartawan di Bangka,characteristics of the mysterious man who poured acid on journalists in bangka
Turun Tangan Dinas ESDM Sulsel Tindaki Tambang Pasir Ilegal di Gowa,south sulawesi esdm department intervenes to take action against illegal sand mining in gowa
Wartawan di Bangka Disiram Air Keras oleh Pria Misterius Tanya Alamat,journalist in bangka doused with acid water by mysterious man asking for address
Dinas ESDM Sulsel Pastikan Tambang Pasir Dikeluhkan Warga di Gowa Ilegal,south sulawesi energy and mineral resources department ensures residents complaints about sand mining in gowa illegal
Dua Pengusaha Tambang Galian C Bodong di Mojokerto Divonis 9 Bulan Penjara,two c bodong quarry mining entrepreneurs in mojokerto sentenced to 9 months in prison
Mengatasi Kritis Mineral Timah,overcoming critical tin minerals
Pengusaha Tambang Galian C Bodong di Mojokerto Hanya Dituntut 10 Bulan Bui,excavated mining entrepreneur c bodong in mojokerto only sued 10 months in prison
KLHK Amankan 2 Tersangka Kasus Tambang Nikel Ilegal di Desa Oko-oko,klhk arrests 2 suspects in illegal nickel mining case in oko-oko village
"KLHK Bongkar Tambang Ilegal di Kolaka, 2 Orang Tersangka-17 Ekskavator Disita","klhk dismantles illegal mining in kolaka, 2 suspects - 17 excavators confiscated"
Tujuh Penambang Timah Ilegal di Bangka Barat Diamankan Polisi,seven illegal tin miners in west bangka arrested by police
"Polisi Buru 2 Pemilik Tambang Batu Bara Ilegal, 1 Bawa Senpi ke Mana-mana","police hunt 2 illegal coal mine owners, 1 carry gun everywhere"
16 Orang Jadi Tersangka Penambangan Batu bara Ilegal di Muara Enim,16 people become suspects of illegal coal mining in muara enim
"Polres Muara Enim Bongkar 3 Tambang Batu Bara Ilegal, 30 Orang Ditangkap","muara enim police dismantles 3 illegal coal mines, 30 people arrested"
Warga Bakar 3 Alat Berat Tambang Emas Ilegal di Jambi,residents burn 3 heavy equipment for illegal gold mining in jambi
3 Alat Berat Tambang Emas Ilegal di Bungo Dibakar Warga,3 heavy equipment for illegal gold mining in bungo burned by residents
Pengusaha Tambang Galian C Bodong di Mojokerto Terancam 5 Tahun Penjara,excavated mining entrepreneur c bodong in mojokerto threatens 5 years in prison
3 Penambang Batu Gunung Ilegal di Taput Ditangkap,3 illegal mountain stone miners in taput arrested
Memberantas Pengapalan Ilegal Batu Bara,eradicating illegal coal shipping
Tegas! Polisi Ingatkan Pemilik Ponton Timah Cabut dari Laut Bangka Barat,firm! police remind owners of tin pontoons to remove from west bangka sea
"Divonis 1 Tahun-10 Bulan, 5 Gurandil Sukabumi Dieksekusi ke Bui","sentenced to 1 year-10 months, 5 gurandil sukabumi executed to jail"
6 Penambang Timah Ilegal di Bangka Barat Ditetapkan Tersangka,6 illegal tin miners in west bangka named suspects
Pelaku Illegal Drilling yang Ditangkap di Muaro Jambi Ternyata Oknum PNS,the illegal drilling perpetrator arrested in muaro jambi turns out to be a civil servant
"Gerebek Sumur Minyak Ilegal di Muaro Jambi, Polisi Tangkap 1 Orang Saat Bekerja","raid illegal oil well in muaro jambi, police arrest 1 person while working"
Hakim Cecar Perhutani Soal Simpulan Tambang Ilegal di Sukabumi,judge cecar perhutani regarding illegal mining conclusions in sukabumi
MAKI Laporkan Perusahaan Nikel yang Diduga Rugikan Negara Triliunan Rupiah,maki reports nickel company allegedly losing the state trillions of rupiah
"Video Gangster Venezuela Kuasai Penjara, 11 Ribu Tentara Menyerbu","video of venezuelan gangsters controlling prisons, 11 thousand soldiers storm"
81 Orang Tewas di Tambang Timah Babel Selama 4 Tahun Terakhir,81 people died in the babylon tin mine over the last 4 years
Mediasi Warga 2 Desa soal Tambang Emas Ilegal di Hutan Adat Belum Final,mediation by residents of 2 villages regarding illegal gold mining in customary forests not yet final
"Lubang Galian Emas di Sukabumi Ambruk, 1 Gurandil Tewas Tertimbun","gold excavation hole in sukabumi collapses, 1 gurandil dies buried"
Polisi Buka Kemungkinan Polemik Tambang Ilegal Diselesaikan Secara Adat,police open the possibility of illegal mining polemic being resolved traditionally
"Jalan Merangin-Kerinci Diblokir Lagi, Polisi Upayakan Pertemuan 2 Desa","merangin-kerinci road blocked again, police attempt to meet two villages"
"Tambang Emas Ilegal di Kuansing Longsor, 1 Penambang Tewas","illegal gold mine in kuansing landslides, 1 miner killed"
Warga Minta Pihak yang Ditangkap soal Tambang Emas Ilegal Tetap Diproses Hukum,residents ask those arrested for illegal gold mining to still be prosecuted by law
"3 Penambang Ilegal di Tambrauw Ditangkap, Polisi Sita 4 Gram Emas-Mesin Alkon","3 illegal miners in tambrauw arrested, police confiscate 4 grams of gold-alkon machine"
"Sempat Diblokir Warga, Jalan Merangin-Kerinci Akhirnya Bisa Dilalui","once blocked by residents, the merangin-kerinci road is finally passable"
Proyek Galian C Ilegal di Majalengka Disegel Polisi!,illegal c excavation project in majalengka sealed by police!
Warga Pidie Serahkan 2 Pucuk M-16 Sisa Konflik ke Polisi,pidie residents hand over 2 m-16 shoots left over from conflict to police
Jabar Hari Ini: Lahan Kuburan di Sumedang Rusak gegara Tambang Ilegal,west java today: graveyard in sumedang damaged due to illegal mining
Miris! Lahan Kuburan di Sumedang Dijadikan Lokasi Tambang Ilegal,pity! graveyard in sumedang used as illegal mining location
"Sumur Minyak Ilegal di Batanghari Terbakar, Polisi Buru Pelaku","illegal oil well in batanghari catches fire, police hunt for perpetrators"
"Respons DPR, RMK Energy Bantah soal Penambangan Ilegal","dpr's response, rmk energy denies illegal mining"
"Rusak Gegara Longsor Tambang, Jalan Nasional di Satui Kalsel Prioritas Diperbaiki","damaged due to mining landslide, national road in satui south kalimantan is priority repaired"
"Tambang Minyak Ilegal di Batanghari Digerebek, 2 Penambang Diamankan","illegal oil mine in batanghari raided, 2 miners arrested"
DPR Minta ESDM Bekukan RMK Energy yang Diduga Lakukan Penambangan Ilegal!,dpr asks esdm to freeze rmk energy which is suspected of carrying out illegal mining!
"Kecewanya Fatmah dan Cicah, Gagal Temui Suami di Sidang Gurandil","fatmah and cicah's disappointment, failed to meet their husbands at the gurandil meeting"
3 Penambang Emas Ilegal di Aceh Ditangkap,3 illegal gold miners in aceh arrested
Penambang Timah Laut Tewas Tertimbun Tanah Longsor Saat Menyelam,sea tin miner died in landslide while diving
Modus Baru di Balik Aktivitas Tambang Ilegal Sukabumi,new mode behind sukabumi illegal mining activities
Negara-negara Amazon Berkumpul di Brasil Bahas Kebijakan Bersama,amazon countries gather in brazil to discuss common policies
Ribuan Warga Pancurendang Banyumas Kini Nganggur Usai Penutupan Tambang Emas,thousands of pancurendang banyumas are now unemployed after the closure of the gold mine
Bedeng Tambang Emas Ilegal di Banyumas Dibongkar Buntut 8 Penambang Terjebak,"illegal gold mining bed in banyumas dismantled, 8 miners trapped"
Momen Terakhir 8 Penambang Emas Terjebak di Lubang-Dinyatakan Hilang,last moments of 8 gold miners trapped in hole - declared missing
5 Hal soal Akhir Pencarian 8 Orang di Tambang Emas Ilegal Banyumas,5 questions about the end of the search for 8 people in the banyumas illegal gold mine
"Tambang Emas Ditutup, Warga Pancurendang Banyumas Jadi Peternak Dadakan","gold mine closed, pancurendang banyumas residents become impromptu farmers"
"Tambang Emas di Banyumas Ditutup, ESDM: Kalau Potensi Akan Ada Penilaian","gold mine in banyumas closed, esdm: there will be an assessment of potential"
Monumen Dibangun di Galian Usai Pencarian 8 Penambang Banyumas Dihentikan,monument built in excavation after search for 8 banyumas miners stopped
7 Fakta Akhir Perjuangan Tim SAR Mencari 8 Penambang Terjebak di Banyumas,7 final facts about the sar team's struggle to search for 8 trapped miners in banyumas
"Tambang Emas di Banyumas Ditutup, Kades Galau Banyak Warga Nganggur","gold mine in banyumas closed, kades confused many citizens unemployed"
"Tutup Penambangan Emas di Banyumas, Polisi Minta Bedeng Dirobohkan","closing gold mining in banyumas, police ask for beds to be demolished"
"Soroti 8 Penambang Terjebak di Banyumas, Pakar Unsoed: Siapa Pengepulnya?","highlighting 8 miners trapped in banyumas, unsoed expert: who are the collectors?"
Polisi Segel Gudang Penyimpanan Batu Hitam Galena Ilegal di Bone Bolango,police seal illegal galena black stone storage warehouse in bone bolango
Tersangka Tambang Emas Ilegal Banyumas Berpeluang Dijerat Pencucian Uang,banyumas illegal gold mining suspect has chances of being charged with money laundering
Warga Ngeluh Aktivitas Galian C di Majalengka Ancam Lingkungan,residents complain that excavation c activities in majalengka threaten the environment
"Evakuasi 8 Penambang Emas di Banyumas, Tim SAR Kerahkan 6 Pompa","evacuating 8 gold miners in banyumas, sar team deploys 6 pumps"
"8 Orang Terjebak, Tambang Emas Ilegal Pancurendang Banyumas Ada Sejak 2014","8 people trapped, pancurendang banyumas illegal gold mine has been there since 2014"
Polisi Tangkap 5 Pekerja di 2 Lokasi Tambang Emas Ilegal Merangin,police arrest 5 workers at 2 illegal merangin gold mine locations
"Kejagung Jerat Windu Aji Sutanto Tersangka Kasus Antam, Langsung Ditahan","maize trap windu aji sutanto suspect antam case, directly arrested"
Polisi Ungkap Peran Dua Penambang Pasir Ilegal di Batam,police reveal the role of two illegal sand miners in batam
Tambang Timah Longsor yang Tewaskan Pekerja di Bangka Tak Berizin,the tin mine landslide that killed workers in bangka was unlicensed
"Penambang Pasir Ilegal di Batam Ditangkap, Alat Berat Disita","illegal sand miner in batam arrested, heavy equipment confiscated"
Penyakit Paru Ubah Budhpura India Jadi 'Desa Para Janda',lung disease turns india's budhpura into 'widows' village'
Minta Ditutup! Warga Geruduk Tambang Galian C di Jatisari Boyolali,request closing! residents of geruduk mining excavation c in jatisari boyolali
Puluhan Orang di Daerah Kumuh Afrika Selatan Tewas Imbas Kebocoran Gas,dozens of people in south african slums died due to gas leak
PPATK Ungkap Nilai Transaksi Tambang Ilegal cs Tembus Rp 20 T,ppatk reveals illegal mining transaction value cs reaches idr 20 t
"Angkut 87 Ton Batu Bara dari Tambang Ilegal, 3 Sopir di Sumsel Jadi Tersangka","transporting 87 tons of coal from illegal mines, 3 drivers in south sumatra become suspects"
"Tambang Pasir Ilegal di Tlogowatu Klaten Digerebek Polda, Ekskavator Disita","illegal sand mine in tlogowatu klaten raided by regional police, excavator confiscated"
"Sempat Digerebek, Tambang Pasir Ilegal di Kemalang Klaten Beroperasi Lagi","once raided, illegal sand mine in kemalang klaten is operating again"
"Urus Tambang Batu Ilegal, 2 Warga Garut Berakhir di Bui","dealing with illegal stone mining, 2 garut residents end up in jail"
PVMBG Ungkap Penyebab Fenomena 'Tanah Bergeser' Rusak 5 Rumah Warga Bima,pvmbg reveals the cause of the 'soil shifting' phenomenon damaging 5 houses of bima residents
"Tebing di Sukabumi Longsor, 2 Pendulang Emas Ilegal Tewas Tertimbun","cliffs in sukabumi landslide, 2 illegal gold panners die in a burden"
Kisah Muram di Balik Kehidupan Gurandil Sukabumi,the grim story behind the life of gurandil sukabumi
PP 26/2023 Diharap Jamin Perlindungan Ekosistem Pesisir & Laut,pp 26/2023 is expected to guarantee the protection of coastal & marine ecosystems
Polisi Tetapkan 6 Penambang Emas Ilegal di Sukabumi Sebagai Tersangka,police name 6 illegal gold miners in sukabumi as suspects
Kisah Uten 20 Tahun Jadi Gurandil di 'Tambang Rakyat',uten's story of 20 years as a gurandil in 'people's mine'
"4 Penambang Pasir Ilegal di Blitar Diamankan, Truk dan Alat Berat Disita","4 illegal sand miners in blitar arrested, trucks and heavy equipment confiscated"
Lokasi Tambang Emas Ilegal di Sukabumi Digerebek Polisi,illegal gold mining location in sukabumi raided by police
"4 Pekerja Tambang Emas Ilegal di Pohuwato Ditangkap, 4 Ekskavator Disita","4 illegal gold mining workers in pohuwato arrested, 4 excavators confiscated"
"Polisi Tertibkan 3 Tambang Emas Ilegal di Manokwari, 11 Alkon-2 Genset Disita","police control 3 illegal gold mines in manokwari, 11 alkon-2 generators confiscated"
Maut Dalam Lubang Viral Kaya Emas di Sukabumi,death in gold rich viral hole in sukabumi
Jabar Hari Ini: Tewasnya Gurandil di Tambang Ilegal-Tuntutan PNS MA,west java today: death of gurandil in illegal mining - supreme court civil servant's demands
Gurandil Kocar-kacir Saat Tambang Emas Ilegal Sukabumi Dibakar,gurandil scattered when illegal sukabumi gold mine burned
Gurandil Tewas di Tambang Emas Ilegal Sukabumi,gurandil killed in sukabumi illegal gold mine
"5 Penambang Batu Bara Ilegal di Berau Ditangkap, 1 Ekskavator Disita","5 illegal coal miners in berau arrested, 1 excavator confiscated"
Wujud 'Bola' Emas Hasil Penambangan Ilegal di Cibuluh Sukabumi,form of gold 'balls' from illegal mining in cibuluh sukabumi
Aktivitas Tambang Emas Ilegal di Cibuluh Sukabumi yang Masih Bergeliat,illegal gold mining activities in cibuluh sukabumi are still active
Menilik Aktivitas Tambang Emas Ilegal Mirip 'Pasar' di Sukabumi,looking at illegal gold mining activities similar to 'markets' in sukabumi
Penambang Emas Ilegal Tewas di Lahan Perhutani Sukabumi,illegal gold miner dies on sukabumi perhutani land
"Terima Aduan Andre Rosiade, Polri Buru Penambang Emas Ilegal di Sumbar","receiving andre rosiade's complaint, national police hunt for illegal gold miners in west sumatra"
"2 Penambang Tanah Ilegal di Pekanbaru Ditangkap, Alat Berat Ikut Disita","2 illegal land miners in pekanbaru arrested, heavy equipment also confiscated"
Longsor Bogor Disebut Imbas Tambang Emas Liar di Gunung Sanggabuana,the bogor landslide is said to be the result of illegal gold mining on mount sanggabuana
Polisi Sita 8 Truk Angkut 120 Ton Batu Bara Ilegal di Sumsel,police confiscate 8 trucks carrying 120 tons of illegal coal in south sumatra
Polisi Segel Lokasi Tambang Emas Ilegal Viral di Nanggung Bogor,police seal viral illegal gold mining location in nanggung bogor
Polisi Tertibkan Tambang Emas Ilegal di Luwu Utara Usai Tewaskan 1 Penambang,police control illegal gold mining in north luwu after killing 1 miner
Dor! Pekerja Tambang Emas Ilegal di Kuansing Ditembak Warga,bang! illegal gold mining worker in kuansing shot by residents
"Tambang Emas Ilegal di Luwu Utara Longsor Timpa 2 Penambang, 1 Orang Tewas","illegal gold mine in north luwu landslides hit 2 miners, 1 person died"
"32 Kasus Diungkap Ditpolairud, Selamatkan Kerugian Negara Rp 100 Miliar","32 cases revealed by ditpolairud, saved state losses of idr 100 billion"
Detik-detik 5 Penambang Emas Ilegal di Parimo Tertimpa Longsor hingga Tewas,"seconds, 5 illegal gold miners in parimo were hit by a landslide and died"
Kronologi 5 Penambang Emas Ilegal di Parigi Moutong Tewas Tertimbun Longsor,chronology of 5 illegal gold miners in parigi moutong killed by landslide
KLHK Tangkap Cukong Tambang Ilegal di Hutan Mangrove Belitung Timur,klhk arrests illegal mining traders in east belitung mangrove forest
"Tambang Pasir Ilegal di Lumajang Digerebek, Backhoe hingga Truk Disita","illegal sand mine in lumajang raided, backhoes and trucks confiscated"
Wanita Terlibat Tambang Emas Ilegal di Bulungan Ditangkap di Jakarta,woman involved in illegal gold mining in bulungan arrested in jakarta
Jabar Hari Ini: Kisah Cinta Bujang Lapuk hingga Misi Persib di Sisa Laga,west java today: bujang lapuk's love story and persib's mission in the remaining match
Cuan 'Manis' Tambang Emas Ilegal di Gunung Sanggabuana,'sweet' profits from illegal gold mining on mount sanggabuana
Dampak Mengerikan ke Manusia dari Tambang Emas Ilegal Gunung Sanggabuana,the horrible impact on humans of the illegal mount sanggabuana gold mine
"Tambang Pasir Ilegal Lereng Merapi Magelang Digerebek, 2 Ekskavator Disita","illegal sand mine on the slopes of merapi magelang raided, 2 excavators confiscated"
Dampak Mengerikan Tambang Emas Ilegal di Kaki Gunung Sanggabuana,the horrifying impact of illegal gold mining at the foot of mount sanggabuana
Deru Suara Diesel Tambang Emas Ilegal di Gunung Sanggabuana,the roar of diesel from illegal gold mining on mount sanggabuana
Jaksa Kembalikan Berkas Perkara Ismail Bolong ke Polri,the prosecutor returns the ismail bolong case file to the police
Benny K Harman Beberkan Mafia Tanah-Hukum Tumbuh Subur di Labuan Bajo,benny k harman reveals that the land-legal mafia is thriving in labuan bajo
Emas Hasil Tambang Ilegal di Bungo Dijual ke Sumbar,gold from illegal mining in bungo sold to west sumatra
